Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release
32,"[69.52130531190703, 5107.473025775657, 4174.11003148779, 888.431241882921]",5646283014.623593,328.99841164709824,29316256.501155913,831.3712273497264,3430524.123072557,781.852461125509,63410400711.101135,927.4643970376571
33,"[1198.653673336828, 3376.1517140362794, 9429.097039125192, 1292.8117280830209]",4899397273.827665,1198.6536733368425,30897194.489228174,1395.809412629231,6045687.120194409,1373.043593328709,68008350433.64789,1292.8117280830477
34,"[5187.906217433661, 7030.189588951778, 3636.2960237929396, 3887.128330883843]",992145438.5953465,1874.3314623655651,32506776.262217946,1972.5062418504515,8285876.445840001,1882.2896392864511,63941065005.191826,3887.1283308839634
35,"[9624.472949421111, 2517.8229582536414, 4972.485058923855, 1203.5132392670787]",246318116.271713,469.5648604058151,28484532.59211023,533.4230028018185,2160337.0818649223,493.27206568360594,67409555563.41782,1208.2828025548495
36,"[2848.404943774676, 368.86947354532793, 6095.643339798969, 2010.7160929154459]",117121483.35392901,155.78106378110942,27532978.926768225,191.32637294787716,671742.210112091,153.22422491608418,64929762148.1917,2010.7160929154747
37,"[514.7875124998935, 2786.4646423661143, 9082.658859666537, 958.2475626678897]",72772528.14836207,86.75525140209427,27352063.818266097,126.22239664312872,352274.8103011214,80.19446194897846,64184292629.209114,1123.8522575345623
38,"[1448.948720912231, 4894.52760277563, 9856.504541106007, 968.2210860460017]",53495223.93146922,59.26060058076224,27188506.637816682,67.60467794707608,195724.68020852725,44.54130652093227,62712546659.86898,1078.536817434988
39,"[6721.355474058785, 7616.196153287176, 2376.3754399239965, 2912.865394447438]",51461722.165906906,52.080697618819286,27179618.426024217,64.36231812187226,193939.61298685856,44.07787316241676,56464123212.77341,2912.865394447436
40,"[3677.831327192532, 6323.058305935795, 6335.297107608947, 2143.098736299034]",81313522.13689004,72.37722985049929,27237969.660409424,85.24487334957038,232864.00803863365,52.909110563457034,52961561828.3431,2143.098736299061
41,"[902.897700544083, 8353.02495589238, 3207.8006497173583, 746.0740415994169]",240007773.84964603,191.62302438814763,27622215.134065922,222.7970084515656,640723.9443167644,145.4617437225017,52822918649.82696,746.0740415994069
